bugid,Pre,Exn,Main,total
Cli_17,2.1,2.8,1.9,6.8
Csv_1,1.7,2.8,5.8,10.3
Compress_8,3,6.7,12.6,22.3
Jsoup_51,5.3,13.9,4.3,23.5
Lang_11,12.4,7.4,6.5,26.3
Cli_12,2.4,2.6,2.4,7.4
Codec_9,11.2,10.5,7,28.7
Compress_18,4.4,7.9,11.3,23.6
Jsoup_48,3.6,4.8,4,12.4
Jsoup_26,5.3,19.6,48.6,73.5
Lang_18,14.9,40.7,24.1,79.7
Closure_23,600.3,113.9,320.3,1034.5
Math_5,35.6,18.1,16.8,70.5
Csv_8,1.8,2.1,2.3,6.2
Math_87,13.2,8.1,8.3,29.6
Mockito_28,6.9,10.7,15.8,33.4
Closure_92,122.2,40.6,84.5,247.3
Cli_8,1.9,3,3.7,8.6
Jsoup_45,4.2,23,4.1,31.3
Chart_16,25,9.9,10.3,45.2
Math_95,7.8,5.2,7.2,20.2
Math_32,31.8,15.4,41.7,88.9
Math_75,14.2,7.7,8.6,30.5
JacksonDatabind_39,451.9,219.1,22.4,693.4
JacksonDatabind_82,339.3,101.6,8.5,449.4
Time_20,36.9,30.3,99.3,166.5
JacksonDatabind_97,122,288.3,21,431.3
Cli_16,4.7,8.4,30.1,43.2
Math_51,21.6,14.4,10.7,46.7
Time_25,100.8,27.1,47.7,175.6
Closure_88,600.3,100.6,35.6,736.5
Compress_26,5.3,3.5,4,12.8
JacksonDatabind_35,282.8,94.7,8.3,385.8
Jsoup_20,10.5,10.4,10.4,31.3
Compress_23,5.7,4,4.3,14
Time_9,19.8,13,12.2,45
Jsoup_39,5.1,12.5,3.3,20.9
Compress_17,4.3,4.7,5.1,14.1
Math_97,6.2,5.2,4.6,16
Cli_4,2,5.1,4.5,11.6
Math_33,25.9,15.2,13.7,54.8
Lang_45,12,7.7,8,27.7
Mockito_32,6.1,13.4,20.8,40.3
Csv_11,2,2.4,2.9,7.3
Lang_21,10.5,6.7,6.8,24
Mockito_12,6.1,5,5,16.1
JxPath_20,22.2,37.1,1001.3,1060.6
Math_2,38.2,17.4,18.3,73.9
Math_59,17.9,9.3,10.5,37.7
Closure_67,104.5,101.4,138.6,344.5
Time_26,600.1,30,145.5,775.6
Closure_77,126.8,23.1,31.4,181.3
Closure_96,55.2,89.4,196.5,341.1
Jsoup_40,4.8,8.6,27.3,40.7
JacksonCore_20,6,3.7,3.9,13.6
Closure_87,374.5,93.4,195.9,663.8
Cli_15,2.7,4.3,10.9,17.9
Cli_3,2.2,3.7,8.4,14.3
Math_52,19.2,9.8,10.4,39.4
JacksonCore_7,5,3.6,3.9,12.5
JacksonDatabind_28,425.4,205.7,14.1,645.2
Chart_24,23.2,9.3,9.6,42.1
Jsoup_55,6.1,9.2,3.6,18.9
Jsoup_64,5.6,9.7,4.1,19.4
Gson_10,5.7,39.8,6.4,51.9
JacksonDatabind_56,600.2,29.8,53.8,683.8
Cli_33,1.9,3.3,4.2,9.4
Lang_53,12.1,16,26.8,54.9
Lang_44,11.6,6.6,9.8,28
JacksonDatabind_33,47.8,182.1,12.3,242.2
Cli_5,1.9,3.2,2.8,7.9
Time_5,57.3,108.9,298.9,465.1
Closure_128,69.4,28.8,43.7,141.9
Jsoup_84,5.4,12.1,106.9,124.4
Compress_16,4.7,4.9,7.1,16.7
Lang_29,10.1,5.5,6,21.6
Closure_121,246.8,113.6,18.6,379
Chart_13,31.7,13.8,69.8,115.3
Time_7,125.1,27.6,99.4,252.1
Csv_14,3.2,5.8,5.7,14.7
Lang_6,13.6,9.9,36.6,60.1
Time_10,167.3,39.7,45.2,252.2
Jsoup_82,7.7,17.5,91.2,116.4
Codec_10,11.8,7,7.3,26.1
Lang_33,9.7,6.1,5.6,21.4
JacksonCore_12,11.3,5.1,10.6,27
Closure_22,600.3,96.1,436.8,1133.2
JacksonDatabind_34,42.1,27.5,30,99.6
Closure_36,600.3,133.1,40.5,773.9
Closure_38,63.1,34.8,38.6,136.5
JacksonDatabind_112,436.2,119.4,8,563.6
Chart_8,24.3,9.1,9.4,42.8
JacksonDatabind_51,469.5,118.2,7.4,595.1
Time_19,43.5,117.8,250.3,411.6
JacksonDatabind_27,369.1,63.3,10.3,442.7
Lang_10,12.9,7.6,6.7,27.2
JacksonXml_3,2.3,2.4,2.3,7
Codec_5,11.6,7.3,7,25.9
JxPath_5,5.1,39.7,9.7,54.5
Math_74,15.8,17.9,96.9,130.6
JacksonDatabind_42,600.1,28,38.6,666.7
JacksonDatabind_9,36.4,40.3,552.3,629
Closure_33,85.6,98.5,1800,1984.1
Math_30,27.7,16,16,59.7
Codec_3,7.3,8.5,10,25.8
Jsoup_67,6.9,14.3,82.3,103.5
Math_11,35.5,20.3,20.5,76.3
JacksonCore_25,8.1,13.8,49.5,71.4
Cli_40,2,2.1,1.9,6
Lang_37,11,16.8,19.7,47.5
Jsoup_77,4.7,3.9,5.2,13.8
JxPath_6,48.4,29.9,1800.1,1878.4
Lang_39,9.8,14.2,39.1,63.1
Jsoup_6,11.4,16.6,3.5,31.5
JacksonDatabind_36,23.1,187.9,101.6,312.6
Closure_74,600.3,79.2,284.2,963.7
JxPath_19,38,38.9,4.7,81.6
Closure_57,41.7,17,17.9,76.6
JacksonDatabind_90,172.5,85.2,6.8,264.5
Jsoup_13,16.2,13.1,32.6,61.9
Jsoup_81,6.4,13.2,125.3,144.9
Math_10,35.5,17.3,15.1,67.9
Lang_48,12.1,6.8,5.7,24.6
JacksonDatabind_19,600.2,24.3,12.2,636.7
Lang_40,9.8,6,5.1,20.9
Lang_4,12.9,7.6,6.4,26.9
Gson_12,5.9,43.9,94.3,144.1
Chart_7,25.1,11,12.9,49
Cli_18,1.9,3,3,7.9
Time_3,185.7,28.7,58.8,273.2
Closure_114,235.2,86.8,21.7,343.7
Closure_95,211.3,106.4,463.1,780.8
Closure_125,100.3,102.2,1800.1,2002.6
Closure_18,600.3,82.3,20.7,703.3
Math_57,17.7,9.5,10.9,38.1
Math_82,14,10.5,11.1,35.6
Cli_29,2.1,3.5,3.6,9.2
Csv_9,1.9,2.4,2.3,6.6
Time_14,426.6,65.5,211.4,703.5
Cli_11,1.8,3.9,3.3,9
Closure_78,600.2,60.3,255.4,915.9
Closure_83,600.2,72.7,196.1,869
Cli_25,1.9,2.3,2.2,6.4
Jsoup_53,5.7,6.5,9.4,21.6
Jsoup_72,4.3,7,11.3,22.6
Lang_28,9.5,5.3,6.2,21
Closure_13,600.3,125.8,36.6,762.7
JacksonDatabind_91,332.1,111.3,8.4,451.8
Math_101,7.7,5.9,5.1,18.7
Compress_31,6.8,5.8,5.6,18.2
JacksonDatabind_1,31.4,30.2,6,67.6
Jsoup_80,6,4.3,5.3,15.6
Jsoup_90,4.2,3.4,3.3,10.9
Lang_54,10.5,6,6.4,22.9
Closure_102,600.2,66.8,55,722
Lang_59,10.6,6.1,5.4,22.1
Math_94,8.7,6,5.8,20.5
Jsoup_41,5.1,9.2,3,17.3
Math_42,26.5,18,12.9,57.4
JacksonDatabind_102,78.4,300.6,130.8,509.8
Math_45,24.9,13.5,11.7,50.1
Csv_13,3.1,4.2,6.1,13.4
Closure_16,600.5,117.5,22.3,740.3
Jsoup_71,9.2,18.2,229.2,256.6
Gson_11,5.8,38.1,8.1,52
Cli_32,1.9,2.1,2.3,6.3
JacksonDatabind_43,164.1,207.6,12.8,384.5
Closure_42,37.8,35.2,95.6,168.6
JacksonDatabind_58,143.4,176.2,13.1,332.7
Jsoup_74,8.4,12.8,48.9,70.1
Closure_11,144,123.7,1343.4,1611.1
Compress_32,5.6,4.5,4.1,14.2
Compress_15,3.9,3.6,3.5,11
Lang_43,11.9,6.5,6.3,24.7
Jsoup_34,3.9,6.2,16.3,26.4
Lang_52,10.9,6.6,6.3,23.8
Jsoup_19,13.9,11.7,2.4,28
JxPath_9,4.3,24.3,957.1,985.7
Closure_25,70.5,85,574.6,730.1
Closure_20,528.4,63,121.4,712.8
Cli_34,2.2,2.4,2.6,7.2
Closure_46,89.1,22.7,40.9,152.7
Time_4,60.8,29.9,113.6,204.3
Closure_69,150.9,112.2,17.9,281
Closure_118,600.3,115.9,361.6,1077.8
Closure_97,600.2,70.8,221.3,892.3
Closure_24,579.2,139.3,268.3,986.8
